DIVISION,N°REQ,CHARGER,S/D,ITEM,DESIGNATION,Delai LIV,N°CDE,Item1,FOURNISSEEUR,N°BRC,ITEM2,statu,N° CONTRAT,EXP/ENC,Champ19,Champ20,Champ21,Champ22,Champ23,Champ24,Champ25,Champ26,Champ27,Champ28,Champ29,Champ30,Champ31,Champ32,Champ33,Champ34,Champ35,Champ36,Champ37,Champ38,Champ39,Champ40,Champ41,Champ42,Champ43,Champ44,Champ45,Champ46,Champ47,Champ48,Champ49,Champ50,Champ51,Champ52,Champ53,Champ54,Champ55,Champ56,Champ57,Champ58,Champ59,Champ60,Champ61,Champ62,Champ63,Champ64,Champ65,Champ66,Champ67,Champ68,Champ69,Champ70,Champ71,Champ72,Champ73,Champ74,Champ75,Champ76,Champ77,Champ78,Champ79,Champ80,Champ81,Champ82,Champ83,Champ84,Champ85,Champ86,Champ87,Champ88,Champ89,Champ90,Champ91,Champ92,Champ93,Champ94,Champ95,Champ96,Champ97,Champ98,Champ99,Champ100,Champ101,Champ102,Champ103,Champ104,Champ105,Champ106,Champ107,Champ108,Champ109,Champ110,Champ111,Champ112,Champ113,Champ114,Champ115,Champ116,Champ117,Champ118,Champ119,Champ120,Champ121,Champ122,Champ123,Champ124,Champ125,Champ126,Champ127,Champ128,Champ129,Champ130,Champ131,Champ132,Champ133,Champ134,Champ135,Champ136,Champ137,Champ138,Champ139,Champ140,Champ141,Champ142,Champ143,Champ144,Champ145,Champ146,Champ147,Champ148,Champ149,Champ150,Champ151,Champ152,Champ153,Champ154,Champ155,Champ156,Champ157,Champ158,Champ159,Champ160,Champ161,Champ162,Champ163,Champ164,Champ165,Champ166,Champ167,Champ168,Champ169,Champ170,Champ171,Champ172,Champ173,Champ174,Champ175,Champ176,Champ177,Champ178,Champ179,Champ180,Champ181,Champ182,Champ183,Champ184,Champ185,Champ186,Champ187,Champ188,Champ189,Champ190,Champ191,Champ192,Champ193,Champ194,Champ195,Champ196,DATE,DATE CED,DATE1
"PER","YS983","ZITOUNI","D","1","MINI STEPPER",,,,,,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/14/19 00:00:00",,
"DAT","YT029","ZEGHDA","D","1","GAS-OIL",,"YL567Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/20/19 00:00:00","05/21/19 00:00:00",
"EXP","YT061","ZITOUNI","D","1","PROPANE LIQUIDE 97% DE PURETE",,"YL595Y","1","NAFTAL HMD","YA1089","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/03/19 00:00:00","07/03/19 00:00:00","08/21/20 00:00:00"
,,,,,,,,,,"YA0700","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/03/19 00:00:00"
,,,,,,,,,,"YA0905","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/12/20 00:00:00"
"INFRA","YT084","ZEGHDA","S","19","MATERIEL  DE MENUISERIE",,"YL625Y","19","ABDELLAOUI  MERMOURI TTS HMD","YA0723","5","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/05/19 00:00:00","08/23/19 00:00:00","09/24/19 00:00:00"
"MNT","YT085","SABAA","S","12","P/R POUR EMBRAYAGE MANUEL ANNULEE  REMPLACE PAR YT 090",,,,,,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/13/19 00:00:00",,
"MNT","YT122","ZITOUNI","S","41","P/R POUR POMPE JUROP+RIVARD",,,,,,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/15/19 00:00:00",,
"INFRA","YT153","SABAA","S","4","MATERIEL MENUISERIE","45","YL681Y","4","ABDELLAOUI  MERMOURI TTS HMD","YA0838","4","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/10/19 00:00:00","12/13/19 00:00:00","01/12/20 00:00:00"
"INFRA","YT161","ZITOUNI","S","3","MATERIEL DE PEINTURE","25","YL688Y","3","ETS GUEMMOULA OGX","YA0833","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/22/19 00:00:00","12/23/19 00:00:00","01/09/20 00:00:00"
"SEC","YT171","ZITOUNI","S","6","DIVERS GANTS DE SECURITE",,"YN011Y","6","TEXFAS TRADE OGX","YA1874","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/29/19 00:00:00","11/21/21 00:00:00","10/03/22 00:00:00"
"DAT","YT184","BOUBRED","D","1","GAS -OIL",,"YL703Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/27/20 00:00:00","02/01/20 00:00:00",
"DAT","YT191","BOUBRED","D","1","GAS -OIL",,"YL710Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/27/20 00:00:00","02/01/20 00:00:00",
,,,,,,,"YN368Y","2","TEXFAS TRADE OGX","YA2399","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/21/23 00:00:00","09/04/23 00:00:00"
,,,,,,,,,,"YA2399","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/04/23 00:00:00"
"EXP","YT218","ZEGHDA","S","1","VISIERE DE PROTECTION POUR LABO",,"YN026Y","1","SARI UMIR ALG","YA1660","2","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/24/20 00:00:00","12/01/21 00:00:00","04/11/22 00:00:00"
,,,,,,,"YN368Y","1","TEXFAS TRADE OGX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/21/23 00:00:00",
"HSE","YT238","ZEGHDA","D","1","REMPLISSAGE  DES BOUTEILLES  CO2",,"YL732Y","1","LINDE GAZ  OGX",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/14/20 00:00:00","03/14/20 00:00:00",
"DAT","YT301","ZEGHDA","D","1","CHARGEMENT CARTE PUCE CARBURANT",,"YL799Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/22/20 00:00:00","08/22/20 00:00:00",
"DAT","YT315","MAHDJOU","S","2","GAZ INDUSTRIEL",,"YL814Y","1","LINDE GAZ OGX","YA1029","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/28/20 00:00:00","09/19/20 00:00:00","10/13/20 00:00:00"
,,,,,,,,,,"YA1050","3","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/09/20 00:00:00"
"MNT","YT323","ZITOUNI","S","57","DIVERS MATERIELS POUR L'ARRET TRIENNALE 2021",,"YL852Y","58","ETS GUEMMOULA Med OGX","YA1196","15","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/05/20 00:00:00","12/19/21 00:00:00","01/16/21 00:00:00"
"INFRA","YT327","SABAA","S","7","MATERIEL DE CONSTRICTION","45","YL825Y","7","SARL A,SID ALG","YA1042","5","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/13/20 00:00:00","10/14/20 00:00:00","10/27/20 00:00:00"
"MOG","YT335","ZEGHDA","D","1","SPHER GAZ PROPANE",,"YL835Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/09/20 00:00:00","11/11/20 00:00:00",
,,,,,,,,,,"YA2071","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/17/23 00:00:00"
"EXP","YT356","ZITOUNI","D","1","PROPANE LIQUIDE 97% DE PURETE",,"YL848Y","1","NAFTAL  HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/15/20 00:00:00","12/16/20 00:00:00",
"CMS","YT361","ZITOUNI","D","1","RECHARGE OXYGENE MEDICAL",,"YL855Y","1","LINDE GAS  OGX",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/27/20 00:00:00","12/29/20 00:00:00",
"DAT","YT370","ZITOUNI","D","1","GAS OIL",,"YL864Y","1","NAFTAL   HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/04/21 00:00:00","01/05/21 00:00:00",
,,,,,,,,,,"YA1222","2","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/25/21 00:00:00"
"MOG","YT378","SABAA","D","1","SPHER GAZ PROPANE",,"YL870Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/19/21 00:00:00","01/21/21 00:00:00",
"MNT","YT436","ZEGHDA","S","5","PDR POUR  POMPE DE GRAISSAGE",,"YN007Y","15","NEPTUNE INDUSTRIES ET SERVICE ALG","YA1809","15","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/27/21 00:00:00","11/16/21 00:00:00","07/19/22 00:00:00"
"INFRA","YT448","SABAA","S","115","MATERIEL DE PLOMBERIE","45","YL942Y","115","ETS GUEMMOULA Med OGX","YA1381","7","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/26/21 00:00:00","06/03/21 00:00:00","07/12/21 00:00:00"
"INFRA","YT470","ZEGHDA","S","19","MATERIEL DE FROID","45","YL955Y","20","SARL LIFE CLIM","YA1484","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/27/21 00:00:00","06/30/21 00:00:00","11/24/21 00:00:00"
"MOG","YT476","SABAA","D","1","SPHER GAZ PROPANE",,"YL959Y","1","NAFTAL   HMD","YA1441","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07/11/21 00:00:00","07/11/21 00:00:00","08/31/21 00:00:00"
"PER","YT531","ZEGHDA","D","9","CADEAUX FIN DANNEE",,"YN062Y","8","ADVANCED OFFICE HMD","YA1599","6","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/15/21 00:00:00","01/17/22 00:00:00","03/05/22 00:00:00"
"HSE","YT568","ZEGHDA","D","1","REMPLISSAGE  D UNE BOUTEILLE ARGON",,,,,,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/04/22 00:00:00",,
"AT","YT577","ZEGHDA","D","1","GAS-OIL",,"YN050Y","1","NAFTAL SPA HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/04/22 00:00:00","01/05/22 00:00:00",
"AT","YT582","ZEGHDA","D","1","GAS-OIL",,"YN055Y","1","NAFTAL SPA HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/04/22 00:00:00","01/05/22 00:00:00",
"INFRA","YT637","SABAA","D","55","MATERIEL PLOMBERIE","45","YN089Y","55","WALTA  SERVICE OGX","YA1669","41","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/02/22 00:00:00","03/09/22 00:00:00","04/13/22 00:00:00"
"INFRA","YT658","ZEGHDA","D","1","MATERIEL MENUISERIE","45","YN110Y","1","ABDELLAOUI  MERMOURI TTS HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/11/22 00:00:00","04/11/22 00:00:00",
"MNT","YT669","ZITOUNI","S","33","DIVERS  JOINT  SPIRAL",,"YN220Y","33","ALGERIAN  FACTORY  ALGER","YA2229","30","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/04/22 00:00:00","11/04/22 00:00:00","04/26/23 00:00:00"
,,,,,,,,,,"YA1973","5","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/15/22 00:00:00"
"INFRA","YT717","ZEGHDA","D","2","COMMANDE  A DISTANCE",,"YN139Y","2","SARL   LIFE  CLIM","YA1730","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/14/22 00:00:00","06/14/22 00:00:00","06/16/22 00:00:00"
"INFRA","YT789","SABAA","D","4","DIVERS PEINTURES","45","YN190Y","4","SARL  SID OGX","YT1891","4","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/14/22 00:00:00","09/19/22 00:00:00","10/10/22 00:00:00"
,,,,,,,,,,"YA2016","1","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/06/22 00:00:00"
"HSE","YT861","SABAA","D","2","AZOTE GAZEUX",,"YN245Y","2","LINDE GAZ OGX",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/18/22 00:00:00","12/19/22 00:00:00",
"INFRA","YT864","SABAA","D","1","MATERIEL PENTURE","45","YN246Y","1","ENTREPRISE A,SID","YA2062","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/18/22 00:00:00","12/19/22 00:00:00","01/17/23 00:00:00"
"MNT","YT892","BOUBRED","D","1","GRILLE EN INOX",,"YN326Y","1","SARL GUEMMOULA OGX",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/30/23 00:00:00","05/28/23 00:00:00",
